source_ref,manufacturer,model,carrier_wavelength,units_carrier_wavelength,frequency,units_frequency,unit_length,units_unit_length,manu_ref_refrac_index,c_term,d_term,remark,edm_type,manu_unc_const,units_manu_unc_const,manu_unc_ppm,units_manu_unc_ppm,manu_unc_k,atmos_corr_formula
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,122,,nm,,Hz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,134,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,136,,nm,,Hz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,140,,nm,,Hz,10,m,,275,105.3,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,142,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,160,,nm,,Hz,,m,,275,105.3,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,210,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,216,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,220,,nm,,Hz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,408,,nm,,Hz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,410,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,412,,nm,,Hz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,420,,nm,14.98553,MHz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,422,,nm,14.98553,MHz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,424,,nm,14.98553,MHz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,440,,nm,14.98553,MHz,10,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,444,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,460,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,500,,nm,,Hz,3,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,501,,nm,,Hz,3,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,520,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,540,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,600,,nm,,Hz,,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,610,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,620,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,640,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,710,,nm,,Hz,,m,,308.6,107.92,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,4000,,nm,,Hz,,m,,275,106,,ph,6,mm,6,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,4400,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,6000,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,110 A,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,12A,,nm,14.98553,MHz,,m,,275,106,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,14 A,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,422 LR,,nm,,Hz,10,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,510 A,,nm,,Hz,10,m,,275,106,,ph,10,mm,6,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,510 N,,nm,,Hz,10,m,,275,106,,ph,10,mm,6,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,510 SA,,nm,,Hz,,m,,275,106,,ph,10,mm,6,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,520 A,,nm,,Hz,,m,,275,106,,ph,6,mm,6,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,520 N,,nm,,Hz,,m,,275,106,,ph,6,mm,6,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,520 SA,,nm,,Hz,,m,,275,106,,ph,6,mm,6,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,520 SN,,nm,,Hz,,m,,275,106,,ph,6,mm,6,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,540 A,,nm,,Hz,,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,540 N,,nm,,Hz,3,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,540 SA,,nm,,Hz,,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,540 SN,,nm,,Hz,,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,600 M,,nm,,Hz,,m,,275,106,,ph,4,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,600 S,,nm,,Hz,,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,610 M,,nm,,Hz,,m,,275,106,,ph,4,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,610 S,,nm,,Hz,,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,620 M,,nm,,Hz,,m,,275,106,,ph,4,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,620 S,,nm,,Hz,,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,640 M,,nm,,Hz,,m,,275,106,,ph,4,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,640 S,,nm,,Hz,,m,,275,106,,ph,6,mm,4,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,6A,,nm,,Hz,5,m,,,,,ph,,mm,,ppm,,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,6B,,nm,,Hz,,m,,309.2,109.5,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,Geodimeter,6BL,,nm,,Hz,5,m,,308.6,107.92,,ph,10,mm,10,ppm,2,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 10,910,nm,14985530,Hz,10,m,1.000275,275,79.6,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 110/110A,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 112,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 114,880,nm,14984651,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 116,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 120,910,nm,14985530,Hz,10,m,1.000275,275,79.6,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 122,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 12A,910,nm,14985530,Hz,10,m,1.000275,275,79.6,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 136/140,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 14,910,nm,14985530,Hz,10,m,1.000275,275,79.6,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 142,,nm,14985543,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 14A,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 16,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 210,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 216,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 220,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 4000/4002,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 404/406,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 408,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 412,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 420,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 422,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 422LR,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 424,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 440,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 4400,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 4400,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 440Lr,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 444,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 460,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 468DR,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 510,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 520,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 540,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 6000,880,nm,14984651,Hz,10,m,1.000275,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 600DR200+,,nm,,Hz,,m,,274.41,79.39,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 600Pro,,nm,,Hz,,m,,274.41,79.39,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 608M,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 610,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 610S/M,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 610SP,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 620,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 620S/M,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 620SP,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 640,,nm,,Hz,10,m,1.000275,275,79.55,The carrier wavelength can vary between 850 nm and 910 nm due to the use of different types of diodes from various sources. The manufacturer selects the modulation frequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 640S/M,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 640SP,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter 650,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 6A,550,nm,29970000,Hz,5,m,1.0003092,309.2,82.15,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 6BL,632.8,nm,29970000,Hz,5,m,1.0003086,308.6,81,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 710,632.8,nm,29970000,Hz,5,m,1.0003086,308.6,81,,ph,,mm,,ppm,,
"Rüeger, J. M. 1996. Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 8,632.8,nm,29970000,Hz,5,m,1.0003086,308.6,81,,ph,,mm,,ppm,,
"Rüeger. J. M. 2007a. First Velocity Correction in EDM: How to get the Constants C and D, Azimuth",Geodimeter,Geodimeter ATS,,nm,,Hz,,m,,275,79.55,,ph,,mm,,ppm,,
Trimble survey support bulletin - Atmospheric_Correction_Trimble TS_Ver 240_2021-02-16,Geodimeter,"Geodimeter System 500, 600",850,nm,14985513,Hz,10,m,1.000275,275,79.55,Program version of CU system 600 and Trimble 5600 until 632-04.06 NB. Onboard software uses Magnus-Tetens 1966 formula for Atmospheric Correction,ph,,mm,,ppm,,"Kw = 275 - 79.55 * (p / (273.15 + t))
result = d * (1 + Kw * 10**-6)"
Trimble survey support bulletin - Atmospheric_Correction_Trimble TS_Ver 240_2021-02-16,Geodimeter,Geodimeter System 600 DR200+,850,nm,,Hz,,m,1.00027441,274.41,79.39,Program version of CU system 600 and Trimble 5600 from 632-05.00 NB. Onboard software uses Magnus-Tetens 1966 formula for Atmospheric Correction,pu,,mm,,ppm,,"pW = (h / 100) * 6.1078 * math.exp(17.269 * t / (237.3 + t))

Kw= 274.41 - 79.39 * (p / (273.15 + t)) + 11.27 * (pW / (273.15 + t))

result = d * (1 + Kw * 10**-6)"
Trimble survey support bulletin - Atmospheric_Correction_Trimble TS_Ver 240_2021-02-16,Geodimeter,Geodimeter System 600 pro,850,nm,14985511,Hz,10,m,1.00027441,274.41,79.39,Program version of CU system 600 and Trimble 5600 from 632-05.00 NB. Onboard software uses Magnus-Tetens 1966 formula for Atmospheric Correction,ph,,mm,,ppm,,"pW = (h / 100) * 6.1078 * math.exp(17.269 * t / (237.3 + t))

Kw= 274.41 - 79.39 * (p / (273.15 + t)) + 11.27 * (pW / (273.15 + t))

result = d * (1 + Kw * 10**-6)"
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,GeoFennel,PULSAR,,nm,,Hz,,m,,,,,ph,10,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,GeoFennel,PULSAR 100,,nm,,Hz,,m,,,,,ph,20,mm,10,ppm,2,
https://www.land.vic.gov.au/surveying/services/equipment-calibration-services,GeoFennel,PULSAR 50,,nm,,Hz,,m,,,,,ph,10,mm,10,ppm,2,
