source_ref,manufacturer,model,carrier_wavelength,units_carrier_wavelength,frequency,units_frequency,unit_length,units_unit_length,manu_ref_refrac_index,c_term,d_term,remark,edm_type,manu_unc_const,units_manu_unc_const,manu_unc_ppm,units_manu_unc_ppm,manu_unc_k
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 112,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 116,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 122,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 136/140,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 142,,,14985543,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 16,910,nm,14985530,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 114,880,nm,14984651,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 210,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 216,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 220,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 420,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 440,910,nm,14984629,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 6000,880,nm,14984651,Hz,10,m,1.000275,275,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 510,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 520,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 540,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 4400,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 408,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 412,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 422LR,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 424,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 444,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 460,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 610,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 620,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Geodimeter,Geodimeter 640,,,,,10,m,1.000275,275,79.55,The carrier wavelength can vary between850 nm and 910 nm due to the use of differenttypes of diodes from various sources. The manufacturer selects the modulationfrequency (~15MHz) according to the actual carrier wavelength (as well as the 10 m unit length) so that the same C and D terms can be used for all instruments,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Hewlett Packard,HP 3800B,910,nm,14985453,Hz,10,m,1.0002783,278.3,79.15,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Hewlett Packard,HP 3805A,910,nm,14987103,Hz,10,m,1.0002783,278.3,79.15,Frequency set to +110 ppm,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Hewlett Packard,HP 3808A,835,nm,14987090,Hz,10,m,1.0002792,279.2,79.46,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Hewlett Packard,HP 3820A,835,nm,14987090,Hz,10,m,1.0002792,279.2,79.46,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Hewlett Packard,HP 3801A,910,nm,14987103,Hz,10,m,1.0002783,278.3,79.15,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Hewlett Packard,HP 3859A,840,nm,14987090,Hz,10,m,1.0002783,279.2,79.15,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Hewlett Packard,HP 3810B,840,nm,14987090,Hz,10,m,1.0002783,278.3,79.15,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",IBEO,FEN 2000,905,nm,,,,,1.00027345,273.45,79.08,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",IBEO,FEN 4000,905,nm,,,,,1.00027345,273.45,79.08,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",IBEO,FEN 10000,905,nm,,,,,1.00027345,273.45,79.08,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",IBEO,Pulsar Survey,905,nm,,,,,,,,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",IBEO,Pulsar 50/100,905,nm,,,,,,,,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",IBEO,Pulsar 500/1000,905,nm,,,,,,,,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",IBEO,Pulsar Minifix,905,nm,,,,,,,,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 500,875,nm,14985400,Hz,10,m,1.0002816,281.6,79.26,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 501,900,nm,14985400,Hz,10,m,1.0002819,281.9,79.19,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 502,860,nm,14985400,Hz,10,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 102,860,nm,14985400,Hz,10,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 503,860,nm,14985400,Hz,10,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 104,860,nm,14985400,Hz,10,m,1.0002822,282.2,79.4,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 150,860,nm,14985400,Hz,10,m,1.0002822,282.2,79.4,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 504,860,nm,14985400,Hz,10,m,1.0002822,282.2,79.4,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Kern,DM 550,860,nm,14985400,Hz,10,m,1.000282,282.2,79.4,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Keuffel and Esser,Ranger V,632.8,nm,14984980,Hz,10,m,1.00031,310,81.01,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Keuffel and Esser,Rangemaster II,632.8,nm,14984980,Hz,10,m,1.00031,310,81.01,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Keuffel and Esser,Autoranger I,910,nm,14983482,Hz,10,m,1.0003104,310.4,79.19,Frequency set to -100 ppm,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Keuffel and Esser,Autoranger S,865,nm,14983482,Hz,10,m,1.0003104,310.4,79.4,Frequency set to -100 ppm,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Keuffel and Esser,Autoranger II,865,nm,14983482,Hz,10,m,1.0003104,310.4,79.4,Frequency set to -100 ppm,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI 3,875,nm,7492700,Hz,20,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI 3S,885,nm,7492700,Hz,20,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC 1,885,nm,4871444,Hz,30.7692,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI4/4L/4S,885,nm,4870255,Hz,30.7692,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC 1 L,885,nm,4870255,Hz,30.7692,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI 20,835,nm,4495620,Hz,33.3333,m,1.0002822,282.2,79.43,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI 5 S,845,nm,4870255,Hz,30.7692,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI1000,865,nm,7492700,Hz,20,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI2000,850,nm,14835546,Hz,10.10101,m,1.0002818,2818,79.4,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI3000,865,nm,,,,,1.0002815,281.5,79.3,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC2000,850,nm,4870255,Hz,30.7692,m,1.000282,282,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC1600(I),850,nm,14835546,Hz,10.10101,m,1.000282,282,79.4,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC1600(II),850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC1000,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC1610,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC2002,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI1001,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI1600,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI2002,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI3000S,860,nm,,,,,1.0002815,281.5,79.3,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DI3010S,860,nm,,,,,1.0002815,281.5,79.3,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild DIOR3002S,860,nm,,,,,1.0002815,281.5,79.3,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild 3012S,860,nm,,,,,1.0002815,281.5,79.3,,pu,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,Wild TC500,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,TC1100,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,TC1700,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,TC1800,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,TCA/TCM1100,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,TCA/TCM1800,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Leica,TC400/TC600,850,nm,,,3,m,1.0002818,281.8,79.39,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,ND-20,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,ND-21,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,ND-26,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,NTD-2/2S,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,NTD-3,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,NTD-4,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,ND-30,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,ND-31,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM-1,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM-5,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM-20,820,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,C-100,850,nm,14985520,Hz,10,m,1.000275,275,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,D-50,850,nm,14985520,Hz,10,m,1.000275,275,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM-A5/10/20,850,nm,74927604,Hz,2,m,1.000275,275,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,ND-20F,810,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,ND-21F,810,nm,14972947,Hz,10,m,1.00028,280,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM A5LG,850,nm,74927604,Hz,2,m,1.000275,275,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM A10LG,850,nm,74927604,Hz,2,m,1.000275,275,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM A20LG,850,nm,74927604,Hz,2,m,1.000275,275,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM-720,850,nm,74927604,Hz,2,m,1.000275,275,79.5,(C-term and D-term) Temperature and pressure measured internally for automatic first velocity correction,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM-730,850,nm,74927604,Hz,2,m,1.000275,275,79.5,(C-term and D-term) Temperature and pressure measured internally for automatic first velocity correction,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM-750,850,nm,74927604,Hz,2,m,1.000275,275,79.5,(C-term and D-term) Temperature and pressure measured internally for automatic first velocity correction,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Nikon,DTM-300,850,nm,14985520,Hz,10,m,1.000275,275,79.5,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PM-81,850,nm,14985450,Hz,10,m,1.0002785,278.5,79.2,(C-term and D-term) Applicable if PM-81 is set to 278 ppm,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PX-06D,850,nm,14985450,Hz,10,m,1.0002785,278.5,79.2,(C-term and D-term) Applicable if a temperature of +15°C and a pressure of 760 mm Hg is entered.,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,MD-14,815,nm,14985450,Hz,10,m,1.0002785,278.5,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,MD-20,815,nm,14985450,Hz,10,m,1.0002785,278.5,79.2,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PTS-10,815,nm,14985450,Hz,10,m,1.0002798,279.8,79.56,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PX-20D,815,nm,14985450,Hz,10,m,1.0002798,279.8,79.56,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PX-10D,815,nm,14985450,Hz,10,m,1.0002798,279.8,79.56,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PTS-III,815,nm,14985450,Hz,10,m,1.00027975,279.75,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PTS-II,815,nm,14985450,Hz,10,m,1.00027975,279.75,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PCS-1S,815,nm,14985450,Hz,10,m,1.00027975,279.75,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PCS-2S,815,nm,14985450,Hz,10,m,1.00027975,279.75,79.55,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PTS-V2/V2C,815,nm,14985450,Hz,10,m,1.00027975,279.75,79.55,(C-term and D-term) n Temperature and pressure measured internally for automatic first velocity correction,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PTS-V3/V3C,815,nm,14985450,Hz,10,m,1.00027975,279.75,79.55,(C-term and D-term) n Temperature and pressure measured internally for automatic first velocity correction,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Pentax,PTS-V5,815,nm,14985450,Hz,10,m,1.00027975,279.75,79.55,(C-term and D-term) n Temperature and pressure measured internally for automatic first velocity correction,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Precision International,Beetle 500S,910,nm,14984979,Hz,10,m,1.00031,310,79.15,,,,,,,
"Rüeger, J. M.  1996.  Electronic Distance Measurement - An Introduction, 4th corrected edition",Precision International,Beetle 1000S,910,nm,14984979,Hz,10,m,1.00031,310,79.15,,,,,,,
